date,close,sp500,nasdaq100,DoeJonesIA,USDtoCNY,USDtoEUR,USDtoJPY,AnalogDevice,Jabil,Microsoft,Nidec,Qualcomm,TSMC,CPI,USA MSCI,will5000
2017-11-07T00:00:00.000Z,174.81,2590.639893,6320.779785,23557.23047,6.64,0.8631,114.02,91.900002,27.66,84.269997,34.32,64.099998,42.509998,2.202583,2233.1,119.41
2017-11-08T00:00:00.000Z,176.24,2594.379883,6345.810059,23563.35938,6.628,0.8624,113.88,92,28.26,84.559998,35.040001,65.489998,42.43,2.202583,2233.1,119.57
2017-11-09T00:00:00.000Z,175.88,2584.620117,6312.209961,23461.93945,6.6403,0.859,113.47,89.699997,28.32,84.089996,35.18,64.599998,41.639999,2.202583,2233.1,119.1
2017-11-10T00:00:00.000Z,174.67,2582.300049,6309.069824,23422.21094,6.6414,0.8572,113.53,89.589996,28.610001,83.870003,35.349998,64.57,41.720001,2.202583,2233.1,119.1
2017-11-13T00:00:00.000Z,173.97,2584.840088,6316.180176,23439.69922,6.6405,0.8571,113.62,90.029999,28.66,83.93,35.240002,66.489998,42.009998,2.202583,2233.1,119.19
2017-11-14T00:00:00.000Z,171.34,2578.870117,6293.640137,23409.4707,6.6363,0.8476,113.45,90.440002,28.690001,84.050003,34.720001,66,41.860001,2.202583,2233.1,118.9
2017-11-15T00:00:00.000Z,169.08,2564.620117,6258.359863,23271.2793,6.6235,0.8481,112.88,89.160004,28.58,82.980003,34.650002,65.610001,41.540001,2.202583,2233.1,118.29
2017-11-16T00:00:00.000Z,171.1,2585.639893,6339.140137,23458.35938,6.6307,0.8496,113.06,90.480003,29.1,83.199997,35.450001,66.110001,42.099998,2.202583,2233.1,119.44
2017-11-17T00:00:00.000Z,170.15,2578.850098,6314.509766,23358.24023,6.6268,0.8478,112.08,90.419998,29.219999,82.400002,35.139999,66.720001,42.07,2.202583,2233.1,119.28
2017-11-20T00:00:00.000Z,169.98,2582.139893,6308.609863,23430.33008,6.635,0.8524,112.62,93.07,29.559999,82.529999,35.130001,66.470001,42.209999,2.202583,2233.1,119.51
2017-11-21T00:00:00.000Z,173.14,2599.030029,6378.629883,23590.83008,6.6296,0.8519,112.44,90.190002,29.77,83.720001,35.619999,66.669998,42.580002,2.202583,2233.1,120.3
2017-11-22T00:00:00.000Z,174.96,2597.080078,6386.120117,23526.17969,6.6102,0.8458,111.22,88.650002,29.77,83.110001,35.470001,68.129997,42.41,2.202583,2233.1,120.25
2017-11-24T00:00:00.000Z,174.97,2602.419922,6409.290039,23557.99023,6.6022,0.8382,111.55,89.150002,29.780001,83.260002,36.18,68.910004,42.990002,2.202583,2233.1,120.49
2017-11-27T00:00:00.000Z,174.09,2601.419922,6405.970215,23580.7793,6.5969,0.8405,111.09,87.449997,29.379999,83.870003,35.810001,68.139999,41.09,2.202583,2233.1,120.38
2017-11-28T00:00:00.000Z,173.07,2627.040039,6422.560059,23836.71094,6.6076,0.8445,111.48,87.07,29.040001,84.879997,35.509998,68.379997,40.93,2.202583,2233.1,121.58
2017-11-29T00:00:00.000Z,169.48,2626.070068,6311.379883,23940.67969,6.6094,0.844,111.93,85.660004,28.52,83.339996,35.27,66.519997,39.41,2.202583,2233.1,121.56
2017-11-30T00:00:00.000Z,171.85,2647.580078,6365.560059,24272.34961,6.6128,0.84,112.53,86.110001,28.85,84.169998,34.200001,66.339996,39.599998,2.202583,2233.1,122.52
2017-12-01T00:00:00.000Z,171.05,2642.219971,6337.870117,24231.58984,6.6174,0.8409,112.11,85.400002,28.58,84.260002,33.41,65.489998,39.700001,2.109082,2252.3,122.32
2017-12-04T00:00:00.000Z,169.8,2639.439941,6263.700195,24290.05078,6.6197,0.8427,112.42,84.790001,28.74,81.080002,33.380001,64.559998,39.389999,2.109082,2252.3,122.15
2017-12-05T00:00:00.000Z,169.64,2629.570068,6265.109863,24180.64063,6.6191,0.8456,112.59,84.830002,28.190001,81.589996,33.779999,64.690002,39.200001,2.109082,2252.3,121.62
2017-12-06T00:00:00.000Z,169.01,2629.27002,6293.049805,24140.91016,6.6148,0.8478,112.3,85.410004,27.559999,82.779999,34.200001,64.980003,38.68,2.109082,2252.3,121.51
2017-12-07T00:00:00.000Z,169.32,2636.97998,6316.279785,24211.48047,6.6193,0.8494,113.08,86.110001,27.719999,82.489998,34.860001,65.230003,39.009998,2.109082,2252.3,122.04
2017-12-08T00:00:00.000Z,169.37,2651.5,6344.569824,24329.16016,6.6212,0.85,113.48,85.519997,27.879999,84.160004,34.630001,64.239998,39,2.109082,2252.3,122.66
2017-12-11T00:00:00.000Z,172.67,2659.98999,6393.890137,24386.0293,6.6186,0.8497,113.56,85.800003,28.4,85.230003,34.84,65.18,39.369999,2.109082,2252.3,123
2017-12-12T00:00:00.000Z,171.7,2664.110107,6383.649902,24504.80078,6.6215,0.8517,113.55,85.480003,28.42,85.580002,34.459999,64.860001,39.299999,2.109082,2252.3,123.11
2017-12-13T00:00:00.000Z,172.27,2662.850098,6394.669922,24585.42969,6.6174,0.8456,112.55,85.18,28.530001,85.349998,33.970001,64.900002,39.290001,2.109082,2252.3,123.13
2017-12-14T00:00:00.000Z,172.22,2652.01001,6389.910156,24508.66016,6.6095,0.849,112.39,85.440002,27.450001,84.690002,34.259998,64.699997,39.400002,2.109082,2252.3,122.6
2017-12-15T00:00:00.000Z,173.97,2675.810059,6466.319824,24651.74023,6.6094,0.8508,112.58,86.690002,27.870001,86.849998,34.310001,64.760002,39.5,2.109082,2252.3,123.69
2017-12-18T00:00:00.000Z,176.42,2690.159912,6513.27002,24792.19922,6.6164,0.8488,112.55,88.089996,26.959999,86.379997,35.049999,65.379997,39.400002,2.109082,2252.3,124.51
2017-12-19T00:00:00.000Z,174.54,2681.469971,6480.669922,24754.75,6.6047,0.8446,112.89,87.949997,26.75,85.830002,34.389999,64.5,39.34,2.109082,2252.3,124.05
2017-12-20T00:00:00.000Z,174.35,2679.25,6472.47998,24726.65039,6.5785,0.8424,113.39,88.650002,26.9,85.519997,34.299999,64.599998,39.439999,2.109082,2252.3,124.01
2017-12-21T00:00:00.000Z,175.01,2684.570068,6472.689941,24782.28906,6.5847,0.8422,113.33,88.650002,26.950001,85.5,34.869999,64.389999,39.23,2.109082,2252.3,124.31
2017-12-22T00:00:00.000Z,175.01,2683.340088,6465.169922,24754.06055,6.5774,0.8433,113.27,88.849998,26.700001,85.510002,35.419998,64.730003,39.630001,2.109082,2252.3,124.26
2017-12-26T00:00:00.000Z,170.57,2680.5,6433.160156,24746.21094,6.5453,0.8433,113.23,88.629997,26.24,85.400002,35.400002,64.300003,38.950001,2.109082,2252.3,124.21
2017-12-27T00:00:00.000Z,170.6,2682.620117,6435.149902,24774.30078,6.5568,0.8411,113.36,89.099998,26.24,85.709999,35.419998,64.540001,39.080002,2.109082,2252.3,124.29
2017-12-28T00:00:00.000Z,171.08,2687.540039,6441.419922,24837.50977,6.5334,0.8374,112.89,89.379997,26.24,85.720001,35.380001,64.379997,39.740002,2.109082,2252.3,124.59
2017-12-29T00:00:00.000Z,169.23,2673.610107,6396.419922,24719.2207,6.5066,0.8335,112.69,89.029999,26.25,85.540001,35.150002,64.019997,39.650002,2.109082,2252.3,123.92
2018-01-02T00:00:00.000Z,172.26,2695.810059,6511.339844,24824.00977,6.4934,0.8293,112.3,90.279999,26.700001,85.949997,35.34,65.199997,41.02,2.070508,2370.1,124.96
